Result ID,Result Description,Dialogue ID,비고
Result_girl,우연의 성별을 여자로 설정 후 대사 복귀,Prologue_006,
Result_boy,우연의 성별을 남자로 설정 후 대사 복귀,Prologue_007,
ResultCloseEyes,눈 깜박거리는 효과,,
ResultName,이름 입력창,,나현 추가 (6/15)
ResultBirth,생일 입력창,,나현 추가 (6/15)
Result_002,설명창 띄우기,,밑의 행동력 감소랑 id가 똑같이 되어 있어서 잠시 002로 변경해뒀습니다
ResultPrologueEnd,프롤로그 끝 (씬 이동),,나현 추가 (6/15)
ResultTimePass,행동력 감소,,
ResultClueCompleted,조사 완료 스크립트,RoomEscape_008,
,,,
Result_nextTutorialPhase,튜토리얼 다음 페이즈로 진행,,
Result_TutorialPhase1Force,,TutorialForce_001,
Result_TutorialPhase2ForceSide1,사이드1번방에서 의자 이미지 강조하면서 스크립트,TutorialForce_002,
Result_TutorialPhase2Force,사이드2or3번방에서 의자 강조 스크립트,,
Result_TutorialPhase3ForceSide1,사이드1번방에서 덮인 카펫 이미지 강조하면서 스크립트,TutorialForce_003,
Result_TutorialPhase3Force,사이드2or3번방에서 덮인 카펫 강조 스크립트,,
Result_TutorialPhase4ForceSide1,사이드1번방에서 종이 이미지 강조하면서 스크립트,TutorialForce_004,
Result_TutorialPhase4Force,사이드2or3번방에서 종이 강조 스크립트,,
Result_TutorialPhase5ForceSide1,사이드1번방에서 열린 카펫 이미지 강조하면서 스크립트,TutorialForce_005,
Result_TutorialPhase5Force,사이드2or3번방에서 열린 카펫 강조 스크립트,,
,,,
,,,
,,,
ResultInquiry,조사 선택,,RoomEscape_Inquiry 또는 RoomEscape_Inquiry2
ResultInquiryYes,,,
ResultInquiryNo,,,
,,,
ResultBedChoice,침대 선택지 조사랑 휴식 나오게 ,RoomEscape_BedClick,
ResultBlanketCheck,조사 누르면 침대 조사 시스템나오게 하고 선택지뜸,,
,,,
ResultTeddyBearScript,곰인형에 대한 설명,RoomEscape_001,
ResultBlanketScript,이불에 대한 설명,RoomEscape_002,
ResultDrinkAndMedicineScript,술과 감기약에 대한 설명,RoomEscape_003,
ResultDrinkAndMedicinMemo,술과 감기약에 대한 메모,R1Memo_012,
ResultStandLightScript,책상 위 스탠드에 대한 설명,RoomEscape_004,
ResultBearStorageClosetyScript,인형 수납장에 대한 설명,RoomEscape_005,
,,,
Result_showZoomedPillow,배게와 침대 위 인형 클로즈업 함,,
,,,
ResultPillowScript,베개에 대한 설명,RoomEscape_006,
ResultPillowAmuletScript,베개 안에 부적을 발견,RoomEscape_007,
ResultPillowAmuletMemo,부적에 대한 메모 작성,R1Memo_001,
,,,
Result_showZoomedDeskShelf,책상 위 선반 클로즈업 함,,
,,,
ResultDiaryScript,다이어리에 대한 설명,RoomEscape_009,
ResultDiaryLockActivation,다이어리 잠금 장치 활성화됨,,
ResultDiaryLockOpen,다이어리가 열림,,
ResultDiaryMemo,다이어리에 대한 메모가 작성됨,R1Memo_002,
ResultDiaryContentScript,다이어리에 대한 스크립트,RoomEscape_010,
ResultDiaryLockFailedScript,다이어리 비밀번호를 틀렸다는 스크립트,RoomEscape_011,
,,,
Result_showClockImage,시계 확대 이미지 표시,,
ResultClockScript,시계에 대한 설명,RoomEscape_012,
ResultClockSystemActivartion,시계 시스템 활성화,,
ResultClockGetKey,열쇠를 획득,,
ResultClockGetKeyScript,열쇠를 획득 후 스크립트,RoomEscape_013,
ResultClockGetKeyMemo,열쇠 획득 후 메모,R1Memo_003,
,,,
ResultChairMoved,의자가 옆으로 이동함,,
,,,
Result_showZoomedDesk,책상 클로즈업 함,,
,,,
ResultLaptopScript,노트북에 대한 설명,RoomEscape_014,
ResultLaptopLockActivation,노트북 비밀번호 화면 활성화,,
